employeenumber,department,jobrole,joblevel,educationfield,gender,age,age_band,monthlyincome,overtime,overtime_flag,distancefromhome,jobsatisfaction,worklifebalance,tenure_years,tenure_band,attrition,attrition_flag
1,Sales,Sales Executive,2,Life Sciences,Female,41,35-44,5993,Yes,1,1,4,1,6,5-10,Yes,1
2,Research & Development,Research Scientist,2,Life Sciences,Male,49,45-54,5130,No,0,8,2,3,10,5-10,No,0
4,Research & Development,Laboratory Technician,1,Other,Male,37,35-44,2090,Yes,1,2,3,3,0,0-1,Yes,1
5,Research & Development,Research Scientist,1,Life Sciences,Female,33,25-34,2909,Yes,1,3,3,3,8,5-10,No,0
7,Research & Development,Laboratory Technician,1,Medical,Male,27,25-34,3468,No,0,2,2,3,2,1-2,No,0
8,Research & Development,Laboratory Technician,1,Life Sciences,Male,32,25-34,3068,No,0,2,4,2,7,5-10,No,0
10,Research & Development,Laboratory Technician,1,Medical,Female,59,55+,2670,Yes,1,3,1,2,1,0-1,No,0
11,Research & Development,Laboratory Technician,1,Life Sciences,Male,30,25-34,2693,No,0,24,3,3,1,0-1,No,0
12,Research & Development,Manufacturing Director,3,Life Sciences,Male,38,35-44,9526,No,0,23,3,3,9,5-10,No,0
13,Research & Development,Healthcare Representative,2,Medical,Male,36,35-44,5237,No,0,27,3,2,7,5-10,No,0
14,Research & Development,Laboratory Technician,1,Medical,Male,35,35-44,2426,No,0,16,2,3,5,2-5,No,0
15,Research & Development,Laboratory Technician,2,Life Sciences,Female,29,25-34,4193,Yes,1,15,3,3,9,5-10,No,0
16,Research & Development,Research Scientist,1,Life Sciences,Male,31,25-34,2911,No,0,26,3,2,5,2-5,No,0
18,Research & Development,Laboratory Technician,1,Medical,Male,34,25-34,2661,No,0,19,4,3,2,1-2,No,0
19,Research & Development,Laboratory Technician,1,Life Sciences,Male,28,25-34,2028,Yes,1,24,3,3,4,2-5,Yes,1
20,Research & Development,Manufacturing Director,3,Life Sciences,Female,29,25-34,9980,No,0,21,1,3,10,5-10,No,0
21,Research & Development,Research Scientist,1,Life Sciences,Male,32,25-34,3298,Yes,1,5,2,2,6,5-10,No,0
22,Research & Development,Laboratory Technician,1,Medical,Male,22,<25,2935,Yes,1,16,4,2,1,0-1,No,0
23,Sales,Manager,4,Life Sciences,Female,53,45-54,15427,No,0,2,4,3,25,10+,No,0
24,Research & Development,Research Scientist,1,Life Sciences,Male,38,35-44,3944,Yes,1,2,4,3,3,2-5,No,0
26,Research & Development,Manufacturing Director,2,Other,Female,24,<25,4011,No,0,11,3,2,4,2-5,No,0
27,Sales,Sales Representative,1,Life Sciences,Male,36,35-44,3407,No,0,9,1,3,5,2-5,Yes,1
28,Research & Development,Research Director,3,Life Sciences,Female,34,25-34,11994,No,0,7,2,3,12,10+,No,0
30,Research & Development,Research Scientist,1,Life Sciences,Male,21,<25,1232,No,0,15,4,3,0,0-1,No,0
31,Research & Development,Research Scientist,1,Medical,Male,34,25-34,2960,No,0,6,1,3,4,2-5,Yes,1
32,Research & Development,Manager,5,Other,Female,53,45-54,19094,No,0,5,3,2,14,10+,No,0
33,Research & Development,Research Scientist,1,Life Sciences,Female,32,25-34,3919,Yes,1,16,1,3,10,5-10,Yes,1
35,Sales,Sales Executive,2,Marketing,Male,42,35-44,6825,No,0,8,2,3,9,5-10,No,0
36,Research & Development,Healthcare Representative,3,Medical,Female,44,35-44,10248,No,0,7,4,3,22,10+,No,0
38,Sales,Manager,5,Marketing,Female,46,45-54,18947,No,0,2,1,2,2,1-2,No,0
39,Research & Development,Laboratory Technician,1,Medical,Male,33,25-34,2496,No,0,2,4,3,1,0-1,No,0
40,Research & Development,Healthcare Representative,2,Other,Male,44,35-44,6465,Yes,1,10,4,4,4,2-5,No,0
41,Research & Development,Laboratory Technician,1,Medical,Male,30,25-34,2206,No,0,9,3,3,10,5-10,No,0
42,Sales,Sales Representative,2,Technical Degree,Male,39,35-44,2086,No,0,5,4,4,1,0-1,Yes,1
45,Research & Development,Research Scientist,1,Medical,Male,24,<25,2293,Yes,1,1,4,2,2,1-2,Yes,1
46,Research & Development,Research Scientist,1,Medical,Female,43,35-44,2645,No,0,2,3,2,5,2-5,No,0
47,Sales,Sales Representative,1,Marketing,Male,50,45-54,2683,Yes,1,3,3,3,3,2-5,Yes,1
49,Sales,Sales Representative,1,Marketing,Female,35,35-44,2014,No,0,2,4,3,2,1-2,No,0
51,Research & Development,Research Scientist,1,Life Sciences,Female,36,35-44,3419,Yes,1,5,1,4,1,0-1,No,0
52,Sales,Sales Executive,2,Life Sciences,Female,33,25-34,5376,No,0,1,1,3,5,2-5,No,0
53,Research & Development,Laboratory Technician,1,Other,Male,35,35-44,1951,No,0,4,4,3,1,0-1,No,0
54,Research & Development,Laboratory Technician,1,Life Sciences,Female,27,25-34,2341,No,0,2,1,3,1,0-1,No,0
55,Research & Development,Laboratory Technician,1,Life Sciences,Male,26,25-34,2293,No,0,25,3,2,1,0-1,Yes,1
56,Sales,Sales Executive,3,Life Sciences,Male,27,25-34,8726,No,0,8,3,3,9,5-10,No,0
57,Research & Development,Laboratory Technician,2,Medical,Female,30,25-34,4011,No,0,1,4,3,12,10+,No,0
58,Research & Development,Research Director,5,Technical Degree,Female,41,35-44,19545,No,0,12,3,3,22,10+,Yes,1
60,Sales,Sales Executive,2,Marketing,Male,34,25-34,4568,No,0,23,3,3,9,5-10,No,0
61,Research & Development,Research Scientist,1,Life Sciences,Male,37,35-44,3022,No,0,19,2,3,1,0-1,No,0
62,Sales,Sales Executive,2,Marketing,Male,46,45-54,5772,Yes,1,5,4,3,9,5-10,No,0
63,Research & Development,Laboratory Technician,1,Life Sciences,Male,35,35-44,2269,No,0,8,4,3,1,0-1,No,0
64,Research & Development,Laboratory Technician,3,Life Sciences,Male,48,45-54,5381,Yes,1,1,3,3,1,0-1,Yes,1
